id,full_name,state,name,y,x,category,description
18,Tempe, AZ,Faithful Word Baptist Church,33.319861,-111.978976,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
19,Washington, DC,Family Research Council,38.803149,-77.11974,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
20,Colorado Springs, CO,Family Research Institute,38.71603,-104.917822,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
21,Gilbert, AZ,Family Watch International,33.204638,-111.841854,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
22,Elizabeth, CO,Generations With Vision,39.346603,-104.616856,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
23,Downers Grove, IL,Heterosexuals Organized for a Moral Environment,41.743653,-88.05745,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
24,Carol Stream, IL,Illinois Family Institute,41.888027,-88.174862,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
25,Peoria, IL,Illinois Family Institute Tri-County chapter,40.651938,-89.698281,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
26,Orlando, FL,Liberty Counsel,28.347986,-81.50773,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
27,Waltham, MA,Mass Resistance,42.353715,-71.285501,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
28,Torrance, CA,Mass Resistance,33.780217,-118.394091,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
29,Lewiston, ME,Mass Resistance,44.005818,-70.223698,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
30,St. Louis, MO,Mass Resistance,38.531852,-90.320515,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
31,Yorktown, VA,Mass Resistance,37.22878,-76.525397,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
32,Columbus, OH,Mission: America,39.808631,-83.21028,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
33,Sacramento, CA,Pacific Justice Institute,38.437574,-121.56012,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
34,Hebron, OH,Pass the Salt Ministries,39.948181,-82.511529,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
35,Monroe, WI,Pilgrims Covenant Church,42.581983,-89.671178,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
36,Colorado Springs, CO,Pray in Jesus Name Project ,38.71603,-104.917822,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
37,Plano, TX,Probe Ministries,32.997253,-96.860229,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
38,Maiden, NC,Providence Road Baptist Church,35.552708,-81.262388,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
39,Falls Church, VA,Public Advocate of the United States,38.87221,-77.194851,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
40,San Marcos, CA,Ruth Institute,33.080552,-117.230168,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
41,Sacramento, CA,Save California,38.437574,-121.56012,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
42,Fort Worth, TX,Stedfast Baptist Church,32.552315,-97.544923,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
43,Traverse City, MI,TC Family ,44.715142,-85.65924,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
44,El Paso, TX,Tom Brown Ministries,31.620785,-106.635922,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
45,Washington, DC,Traditional Values Coalition,38.803149,-77.11974,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
46,Anaheim, CA,Traditional Values Coalition,33.788916,-118.017595,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
47,Spartanburg, SC,True Light Pentecost Church,34.90146,-81.998107,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
48,Gilbert, AZ,United Families International,33.204638,-111.841854,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
49,Sacramento, CA,Verity Baptist Church,38.437574,-121.56012,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
50,Topeka, KS,Westboro Baptist Church,38.916844,-95.812263,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
51,Oklahoma City, OK,Windsor Hills Baptist Church,35.290544,-97.833675,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
52,Rockford, IL,World Congress of Families,42.167465,-89.19544,Anti-LGBT,"Opposition to equal rights for the LGBT community has been a key rallying point for the Christian right in the US for decades. The SPLC lists several groups who it claims stray into hate speech, and ""engage in crude name-calling and disseminate disparaging propaganda and falsehoods about this population, such as the claim that gay men molest children at vastly higher rates than straight men."""
53,Sandpoint, ID,America Promise Ministries,48.256635,-116.581108,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
54,Greensburg, LA,Christian American Ministries,30.817837,-90.688022,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
55,Harrison, AR,Christian Revival Center,36.205615,-93.159356,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
56,Schell City, MO,Church of Israel,38.012833,-94.123944,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
57,Brooks, GA,Covenant People Ministry,33.27285,-84.473396,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
58,Morton, IL,Diving International Church of the Web,40.556143,-89.516704,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
59,Bainbridge, OH,Divine Truth Minstries,39.218389,-83.276337,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
60,Little Rock, AR,Divine Truth Minstries,34.626061,-92.520911,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
61,Chicago, IL,Euro Folk Radio,41.644335,-87.940267,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
62,Union, KY,Fellowship of God Covenant People,38.922672,-84.6926,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
63,Harrison, AR,Kingdom Identity Ministries,36.205615,-93.159356,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
64,Alexandria, KY,Kinsman Redeemer Ministries,38.923347,-84.413656,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
65,Scottsbluff, NE,Mission to Israel,41.846162,-103.695193,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
66,Fostoria, OH,Non-Universal Teaching Ministries,41.129056,-83.444251,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
67,Colville, WA,Our Place Fellowship,48.529099,-117.936596,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
68,Mountain City, TN,Sacred Truth Publishing & Ministries,36.433023,-81.826267,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
69,Laporte, CO,Scriptures for America Ministries,40.612226,-105.178228,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
70,Lynchburg, VA,Virginia Publishing Company,37.33258,-79.271768,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
71,Apple Valley, MN,Weisman Publications,44.717345,-93.248926,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
72,Livingston, TX,Yahushua Dual Seed Christian Identity Ministry,30.681899,-94.970293,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
73,Linwood, MI,Yahweh Truth,43.731574,-83.976323,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
74,Broomall, PA,Catholic Counterpoint,39.954111,-75.374636,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
75,Niagara Falls, NY,Catholic Family News,43.066956,-79.075321,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
76,West Chester, OH,Christ or Chaos,39.29229,-84.483206,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
77,Constable, NY,International Fatima Rosary Crusade ,44.927864,-74.29848,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
78,Carrollton, VA,In the Spirit of Chartres Committee,36.945466,-76.561857,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
79,Fillmore, NY,Most Holy Family Monastery,42.456205,-78.122923,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
80,Palmdale, CA,OMNI Christian Book Club,34.509813,-118.287107,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
81,Richmond, NH,Slaves of the Immaculate Heart of Mary,42.719535,-72.33962,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
82,Fence Lake, NM,Aggressive Christianity,34.637307,-108.729619,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
83,Berino, NM,Aggressive Christianity,32.069584,-106.622732,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
84,Vista, CA,Christian Anti-Defamation Commission,33.131181,-117.288254,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
85,St. Petersburg, FL,Bill Keller Ministries,27.644609,-82.767013,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
86,Sheridan, CA,European-American Evangelistic Crusades,38.978204,-121.377452,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
87,Colorado City, AZ,Fundamentalist Latter Day Saints,36.946879,-113.028177,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
88,Custer, SD,Fundamentalist Latter Day Saints,43.75623,-103.618884,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
89,Pringle, SD,Fundamentalist Latter Day Saints,43.603337,-103.599186,Christian Identity,"Christian Identity groups fuse racist ideology with Christian theology, depicting the white race as the true 'chosen people', Jews as descended from Satan and non-whites as having no souls. The movement believes that non-whites will be enslaved in a Kingdom of Heaven established on Earth by Jesus Christ."
